merchant_key,account_id,is_default,effective_from,effective_to
11_plc_hospitality,acct_381b1169a4,True,,
24_seven_mini_mart,acct_a0f371c808,True,,
4b_adekunle,acct_381b1169a4,True,,
60_e_lake_street,acct_381b1169a4,True,,
9th_sky_high,acct_381b1169a4,True,,
aaa,acct_0aedc981ef,True,,
abruzzo_ewr_c1,acct_70da8b7940,True,,
air_margaritaville,acct_381b1169a4,True,,
airbnb,acct_baba137819,True,,
airport_retail_enterprises,acct_70da8b7940,True,,
alamo_rent_a_car,acct_a62d0ab8f6,True,,
alliance_bakery,acct_3bd559647b,True,,
amazon,acct_5ba3d639db,True,,
amazon_prime,acct_0aedc981ef,True,,
american_airlines,acct_1d9ae90683,True,,
americano,acct_381b1169a4,True,,
andy_s_greek_taverna,acct_381b1169a4,True,,
angel_orient_zettle,acct_381b1169a4,True,,
angel_vape,acct_5ba3d639db,True,,
anglo_african_property_holdings,acct_381b1169a4,True,,
apple,acct_256b235086,True,,
arby_s,acct_381b1169a4,True,,
arden_barbershop,acct_f183bb01ee,True,,
arlo_chicago_fandb,acct_381b1169a4,True,,
art_institute_of_chicago,acct_e61560f024,True,,
artcaffe,acct_381b1169a4,True,,
asmara_entertainment,acct_381b1169a4,True,,
aspen_place_flagstaff,acct_381b1169a4,True,,
atandt,acct_b89f7543f6,True,,
athletico,acct_36ad151cfb,True,,
atlanta_airport,acct_70da8b7940,True,,
august_sun_investments,acct_381b1169a4,True,,
auntie_anne_s,acct_381b1169a4,True,,
bait_maryam,acct_381b1169a4,True,,
ballie_ballerson_shoreditch,acct_381b1169a4,True,,
banger_s_austin,acct_381b1169a4,True,,
bao_soho,acct_381b1169a4,True,,
bar_partners_inc,acct_252a9dfee6,True,,
bbandk_limited,acct_381b1169a4,True,,
beauty_and_essex,acct_381b1169a4,True,,
ben_s_pizzeria,acct_381b1169a4,True,,
benita_bakery,acct_3bd559647b,True,,
bert_s_car_wash,acct_fc40ca2b29,True,,
beta_gamma_sigma,acct_0aedc981ef,True,,
beyond_the_pale,acct_381b1169a4,True,,
big_time_boots,acct_d5812e3876,True,,
bilt,acct_329a7781bd,True,,
binny_s,acct_a0f371c808,True,,
bla_bla_beach_club,acct_252a9dfee6,True,,
blacklock_canary_wharf,acct_381b1169a4,True,,
blackwell_s,acct_5ba3d639db,True,,
blind_barber,acct_f183bb01ee,True,,
bloomingdale_s,acct_d5812e3876,True,,
blue_bottle_coffee,acct_3bd559647b,True,,
bob_bob_ricard,acct_381b1169a4,True,,
bocas,acct_381b1169a4,True,,
booking_com,acct_baba137819,True,,
bookstore_st840,acct_5ba3d639db,True,,
booth_groups,acct_574bb68ff7,True,,
boots,acct_2382d702bc,True,,
bottega_prosecco_bar,acct_252a9dfee6,True,,
bp,acct_3b29f8c5aa,True,,
brindisa_soho,acct_381b1169a4,True,,
british_airways,acct_1d9ae90683,True,,
broken_english_taco_pub,acct_252a9dfee6,True,,
bubbles_ord,acct_70da8b7940,True,,
c_est_la_vie_cafe,acct_381b1169a4,True,,
cafe_blue,acct_381b1169a4,True,,
cafe_tola,acct_3bd559647b,True,,
caff_nero,acct_3bd559647b,True,,
camden_eye,acct_381b1169a4,True,,
camden_local,acct_381b1169a4,True,,
camden_road_arms,acct_381b1169a4,True,,
